timestamp,table_name,row_id,error,row_data
2025-12-22T08:53:47.721781,notification,38ef60ae-1b6b-4766-baa7-c2abb40b738f,Error syncing row 38ef60ae-1b6b-4766-baa7-c2abb40b738f to target: connection already closed,
2025-12-22T08:53:47.722263,notification,a7752538-f258-411b-8105-a30c1c3432c1,Error syncing row a7752538-f258-411b-8105-a30c1c3432c1 to target: connection already closed,
2025-12-22T08:53:47.722752,notification,eb00f8c1-6ea6-483a-a676-c67ec9e8a8d6,Error syncing row eb00f8c1-6ea6-483a-a676-c67ec9e8a8d6 to target: connection already closed,
2025-12-22T08:53:47.723312,notification,edadc8de-6933-4b7f-8c95-bb6bf57973c2,Error syncing row edadc8de-6933-4b7f-8c95-bb6bf57973c2 to target: connection already closed,
2025-12-22T08:53:47.723805,notification,13881e65-6738-48b7-8a01-68236db9c098,Error syncing row 13881e65-6738-48b7-8a01-68236db9c098 to target: connection already closed,
2025-12-22T08:53:47.724936,notification,c4021cf5-b408-424f-971f-a099b5fbd183,Error syncing row c4021cf5-b408-424f-971f-a099b5fbd183 to target: connection already closed,
2025-12-22T08:53:47.725402,notification,4e6abe06-1fa7-4f4f-86e8-e8b73498f4ba,Error syncing row 4e6abe06-1fa7-4f4f-86e8-e8b73498f4ba to target: connection already closed,
2025-12-22T08:53:47.725913,notification,65661608-02f2-49ba-b771-74f8cb5fdd01,Error syncing row 65661608-02f2-49ba-b771-74f8cb5fdd01 to target: connection already closed,
2025-12-22T08:53:47.726704,notification,1829e379-3d43-4604-8129-3a40d4e54b8e,Error syncing row 1829e379-3d43-4604-8129-3a40d4e54b8e to target: connection already closed,
2025-12-22T08:53:47.727465,notification,c7205449-17f4-4ffb-98cd-e6c4db258935,Error syncing row c7205449-17f4-4ffb-98cd-e6c4db258935 to target: connection already closed,
2025-12-22T08:53:47.728140,notification,1afc2526-45a1-41b3-bc43-47821c381bbc,Error syncing row 1afc2526-45a1-41b3-bc43-47821c381bbc to target: connection already closed,
2025-12-22T08:53:47.728703,notification,ff915c39-6111-440f-9c02-5459f35f99c6,Error syncing row ff915c39-6111-440f-9c02-5459f35f99c6 to target: connection already closed,
2025-12-22T08:53:47.729353,notification,f20848c7-c33f-4289-b23a-b3595eb25e6c,Error syncing row f20848c7-c33f-4289-b23a-b3595eb25e6c to target: connection already closed,
2025-12-22T08:53:47.729931,notification,4b29242b-a283-4042-b354-cd2606399f74,Error syncing row 4b29242b-a283-4042-b354-cd2606399f74 to target: connection already closed,
2025-12-22T08:53:47.730432,notification,1ba1e440-20a6-4d76-a092-f8117df70379,Error syncing row 1ba1e440-20a6-4d76-a092-f8117df70379 to target: connection already closed,
2025-12-22T08:53:47.730981,notification,ee98c213-c3a4-4a1b-9048-fed69c75554c,Error syncing row ee98c213-c3a4-4a1b-9048-fed69c75554c to target: connection already closed,
2025-12-22T08:53:47.731468,notification,6400edc4-383f-4fc3-94ef-3ff909f1a904,Error syncing row 6400edc4-383f-4fc3-94ef-3ff909f1a904 to target: connection already closed,
2025-12-22T08:53:47.731965,notification,957815a5-423c-4b52-8020-b55533b1c7d8,Error syncing row 957815a5-423c-4b52-8020-b55533b1c7d8 to target: connection already closed,
2025-12-22T08:53:47.732553,notification,79c0bff0-be1f-4ee5-befd-6a0a85398bd8,Error syncing row 79c0bff0-be1f-4ee5-befd-6a0a85398bd8 to target: connection already closed,
2025-12-22T08:53:47.733206,notification,bf729ed8-de5b-45eb-b8a1-01a485b30e8e,Error syncing row bf729ed8-de5b-45eb-b8a1-01a485b30e8e to target: connection already closed,
2025-12-22T08:53:47.733804,notification,8c779eef-3bd8-4158-822b-976ecbe2638a,Error syncing row 8c779eef-3bd8-4158-822b-976ecbe2638a to target: connection already closed,
2025-12-22T08:53:47.734563,notification,89ee3ef9-7da7-4a25-ae2f-99ac272cb1a7,Error syncing row 89ee3ef9-7da7-4a25-ae2f-99ac272cb1a7 to target: connection already closed,
2025-12-22T08:53:47.735220,notification,8f84c032-6e9f-4cfc-a48d-575e96d16d9a,Error syncing row 8f84c032-6e9f-4cfc-a48d-575e96d16d9a to target: connection already closed,
